bookid,bmi
(boys24)_doha_(park_hyo_jun).jpg,21.224489795918366
(boys24)_hyun_uk_(han_hyun_uk).jpg,19.662307668299988
(boys24)_sunghyun_(kim_sung_hyun).jpg,20.522603769221877
00z_daehwi_(lee_dae_hwi).jpg,17.577068685776094
127_doyoung_(kim_dong_young).jpg,18.937002903673786
127_haechan_(lee_dong_hyuck).jpg,19.15708812260536
"127_jaehyun_(jeong_jae_hyun,_but_he_legalized_to_jeong_yoon_oh).jpg",19.444444444444443
127_johnny_(seo_young_ho).jpg,20.452885317750184
127_jungwoo_(kim_jung_woo).jpg,17.901234567901234
127_mark_(mark_lee).jpg,19.692665289256198
127_taeil_(moon_tae_il).jpg,20.519134092541297
127_winwin_(dong_si_cheng).jpg,18.726007303142847
127_yuta_(nakamoto_yuta).jpg,19.369834710743802
14u_dohyuk_(kim_dohyuk).jpg,19.789970953429727
14u_e.sol_(jeon_jaehyeok).jpg,17.632653061224488
14u_eunjae_(kwak_eunjae).jpg,18.40134297520661
14u_gohyeon_(go_hyeon).jpg,18.518518518518515
14u_hero_(jo_youngwoong).jpg,18.11375437749064
14u_hyunwoong_(kim_hyunwoong).jpg,19.01944209636517
14u_luha_(lee_gyeonghun).jpg,19.72318339100345
14u_rio_(son_gwanghyuk).jpg,17.50561500858766
14u_sejin_(lee_sejin).jpg,17.306122448979593
1team_rubin_(lee_hae_joon).jpg,17.165506694547613
1the9_doyum_(jeon_do_yum).jpg,18.062249078414787
1the9_junseo_(kim_jun_seo).jpg,20.199469763918696
1the9_taewoo_(kim_tae_woo).jpg,20.478266613819528
1the9_yongha_(yoo_yong_ha).jpg,20.428357113217785
1tym_baekkyung_(song_baekkyung).jpg,21.93634741225461
1tym_danny_(im_taebin).jpg,20.06172839506173
1tym_jinhwan_(oh_jinhwan).jpg,19.15708812260536
1tym_teddy_park_(park_hong_joon).jpg,19.047004132231407
248038.jpg,39.04780797460821
24k_byungho_(park_byung_ho).jpg,18.621386188612547
24k_changsun_(lee_chang_sun).jpg,18.10180705970475
24k_cory_(cory_hong).jpg,19.15158479364167
24k_daeil_(kim_dae_il).jpg,18.726007303142847
24k_hui_(liang_hui).jpg,17.99015275849009
24k_jeonguk_(kim_jeong_uk).jpg,18.305769473551322
24k_kiyong_(nam_ki_yong).jpg,19.15158479364167
24k_sungoh_(yoo_sung_oh).jpg,20.987654320987648
250464.jpg,29.285855980956157
263711.jpg,42.82083595883218
270020.jpg,23.025951121189213
277774.jpg,29.52702702702703
279426.jpg,19.004108996539788
279799.jpg,28.886245674740486
280669.jpg,43.849409668077534
281182.jpg,21.1071495590167
282214.jpg,28.478009259259267
282516.jpg,21.766747982735968
283490.jpg,33.469549692521326
283516.jpg,31.56326530612245
284580.jpg,44.93243243243244
285405.jpg,26.85069444444445
285439.jpg,22.426346406455245
285550.jpg,32.887057251058145
285565.jpg,22.88699852972065
285657.jpg,19.523903987304106
285735.jpg,22.044766435986162
285929.jpg,30.512152777777786
285997.jpg,34.36888888888889
286540.jpg,16.734774846260663
286715.jpg,33.90239197530864
286819.jpg,23.170166015625
286938.jpg,28.693877551020414
286968.jpg,18.651020408163266
